Species,male,female
Pelobates cultripes,0.00,0.00
Lissotriton helveticus,1.24,1.45
Lissotriton montandoni,1.70,2.60
Triturus pygmaeus,2.04,2.29
Lissotriton vulgaris,2.26,3.10
Mesotriton alpestris,2.36,3.57
Hyla meridionalis,2.65,2.65
Bombina bombina,3.17,2.97
Pelodytes ibericus,3.56,4.87
Rana iberica,4.65,7.40
Euproctus platycephalus,5.10,2.90
Hyla arborea,5.35,7.06
Bombina variegata,6.56,6.77
Triturus cristatus,6.98,7.70
Calotriton asper,7.10,6.13
Triturus marmoratus,8.85,8.97
Rana dalmatina,10.08,31.90
Lithobates sylvaticus,11.20,17.60
Salamandra lanzai,11.35,13.05
Triturus carnifex,11.40,15.10
Pelobates fuscus,13.20,29.40
Pelophylax lessonae,17.05,19.93
Salamandra salamandra,17.90,27.40
Discoglossus galganoi,21.80,15.20
Discoglossus pictus,22.05,9.65
Pleurodeles waltl,25.80,24.60
Xenopus laevis,26.55,40.28
Pelophylax ridibundus,29.44,41.61
Pseudepidalea viridis,33.00,40.73
Rana temporaria,38.07,46.40
Pelophylax epeiroticus,38.57,59.02
Bufo bufo,41.50,164.75
Epidalea calamita,46.81,53.63
Anaxyrus americanus,118.70,59.30
Lithobates catesbeianus,467.80,403.00
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,