species,min_elev,max_elev
Chiroxiphia linearis,0,1500
Chiroxiphia caudata,0,1900
Antilophia galeata,0,1000
Antilophia bokermanni,0,800
Xenopipo uniformis,800,2100
Xenopipo atronitens,0,1200
Chloropipo unicolor,950,2500
Chloropipo flavicapilla,1200,2400
Lepidothrix coronata,0,1400
Lepidothrix vilasboasi,0,200
Lepidothrix iris,0,200
Lepidothrix nattereri,0,500
Lepidothrix coeruleocapilla,500,2100
Lepidothrix isidorei,500,1700
Lepidothrix serena,0,500
Lepidothrix suavissima,250,1800
Cryptopipo holochlora,600,1300
Pipra filicauda,0,800
Pipra aureola,0,800
Pipra fasciicauda,0,800
Machaeropterus deliciosus,400,1900
Machaeropterus regulus,0,1500
Machaeropterus pyrocephalus,0,1050
Ceratopipra cornuta,800,1800
Ceratopipra mentalis,0,750
Ceratopipra rubrocapilla,0,700
Ceratopipra chloromeros,0,1400
Ceratopipra erythrocephala,0,1100
Dixiphia pipra,0,1600
Heterocercus aurantiivertex,0,500
Heterocercus flavivertex,0,500
Heterocercus linteatus,0,500
Manacus vitellinus,0,1200
Manacus manacus,0,1000
Manacus candei,0,950
Manacus aurantiacus,0,1100
Neopelma chrysocephalum,0,700
Tyranneutes virescens,0,500
Tyranneutes stolzmanni,0,800
Neopelma sulphureiventer,0,900
Neopelma chrysolophum,1150,1750
Neopelma pallescens,0,900
Iodopleura pipra,0,900
Iodopleura fusca,0,500
Iodopleura isabellae,0,900
Tityra semifasciata,0,1200
Tityra cayana,0,1100
Tityra inquisitor,0,1200
Xenornis setifrons,0,600
Pachyramphus albogriseus,500,3050
Pachyramphus major,800,2300
Pachyramphus marginatus,0,1000
Pachyramphus cinnamomeus,0,1300
Pachyramphus castaneus,0,1900
Pachyramphus versicolor,1500,3400
Pachyramphus spodiurus,0,900
Pachyramphus rufus,0,1500
Pachyramphus viridis,0,1700
Pachyramphus niger,0,1800
Pachyramphus homochrous,0,900
Pachyramphus aglaiae,0,1250
Pachyramphus validus,0,2500
Pachyramphus minor,0,1050
Schiffornis major,0,500
Schiffornis virescens,0,1700
Schiffornis aenea,900,1700
Schiffornis stenorhyncha,0,1800
Schiffornis veraepacis,0,1700
Schiffornis turdina,0,1500
Schiffornis olivacea,0,1450
Laniisoma elegans,700,1800
Laniocera hypopyrra,0,850
Laniocera rufescens,0,1350
Oxyruncus cristatus,0,1800
Onychorhynchus coronatus,0,1000
Terenotriccus erythrurus,0,1200
Myiobius atricaudus,0,1400
Myiobius sulphureipygius,0,1200
Myiobius villosus,800,2100
Myiobius barbatus,0,900
Piprites pileata,900,2000
Piprites chloris,0,1500
Piprites griseiceps,0,800
Tachuris rubrigastra,0,4200
Leptopogon rufipectus,1600,2700
Leptopogon taczanowskii,1700,2650
Leptopogon amaurocephalus,0,1300
Leptopogon superciliaris,600,2100
Mionectes striaticollis,1200,3350
Mionectes olivaceus,0,1800
Mionectes oleagineus,0,1200
Mionectes macconnelli,0,2000
Mionectes rufiventris,0,1900
Corythopis torquatus,0,800
Corythopis delalandi,0,1200
Pseudotriccus pelzelni,700,2000
Pseudotriccus simplex,1300,2100
Pseudotriccus ruficeps,1850,3350
Phylloscartes eximius,0,1800
Phylloscartes ophthalmicus,900,1800
Phylloscartes lanyoni,450,750
Phylloscartes difficilis,950,2150
Phylloscartes poecilotis,1500,2400
Phylloscartes ventralis,1000,1400
Phylloscartes orbitalis,600,1150
Phylloscartes chapmani,1000,2000
Phylloscartes paulista,0,1000
Phylloscartes oustaleti,500,900
Phylloscartes virescens,0,500
Phylloscartes flavovirens,0,500
Phylloscartes kronei,0,500
Phylloscartes venezuelanus,1100,2300
Phylloscartes beckeri,750,1200
Phylloscartes roquettei,400,500
Phylloscartes gualaquizae,1050,2000
Phylloscartes parkeri,700,1200
Phylloscartes superciliaris,600,1700
Phylloscartes nigrifrons,900,1800
Phylloscartes ceciliae,500,800
Phylloscartes sylviolus,0,600
Rhynchocyclus fulvipectus,750,2300
Rhynchocyclus olivaceus,0,950
Rhynchocyclus brevirostris,0,2100
Rhynchocyclus pacificus,0,1100
Tolmomyias poliocephalus,0,800
Tolmomyias traylori,0,400
Tolmomyias flaviventris,0,1000
Tolmomyias sulphurescens,0,2100
Tolmomyias assimilis,0,1300
Cnipodectes superrufus,250,550
Cnipodectes subbrunneus,0,700
Taeniotriccus andrei,0,350
Todirostrum cinereum,0,1200
Todirostrum maculatum,0,500
Todirostrum nigriceps,0,1100
Todirostrum chrysocrotaphum,0,900
Todirostrum pictum,0,500
Todirostrum poliocephalum,0,1100
Poecilotriccus calopterus,0,1450
Poecilotriccus luluae,1850,2900
Poecilotriccus ruficeps,1600,2700
Poecilotriccus sylvia,0,1100
Poecilotriccus russatus,1200,2500
Poecilotriccus fumifrons,0,400
Poecilotriccus latirostris,0,1100
Poecilotriccus plumbeiceps,750,2750
Hemitriccus furcatus,0,1200
Poecilotriccus capitalis,0,1100
Poecilotriccus albifacies,0,1050
Hemitriccus obsoletus,900,2100
Hemitriccus diops,0,1300
Hemitriccus kaempferi,0,500
Hemitriccus mirandae,600,900
Hemitriccus orbitatus,0,600
Hemitriccus rufigularis,800,1350
Hemitriccus cinnamomeipectus,1700,2200
Hemitriccus granadensis,2000,3300
Hemitriccus flammulatus,0,700
Hemitriccus josephinae,0,500
Poecilotriccus senex,0,500
Lophotriccus galeatus,0,1100
Lophotriccus eulophotes,0,500
Lophotriccus vitiosus,0,800
Lophotriccus pileatus,750,2100
Oncostoma cinereigulare,0,1200
Oncostoma olivaceum,0,1000
Hemitriccus minor,0,700
Hemitriccus cohnhafti,0,300
Hemitriccus spodiops,800,1600
Atalotriccus pilaris,0,800
Hemitriccus zosterops,0,850
Hemitriccus griseipectus,2000,3300
Hemitriccus minimus,0,500
Hemitriccus inornatus,0,500
Myiornis albiventris,600,1200
Myiornis auricularis,0,1250
Myiornis atricapillus,0,700
Myiornis ecaudatus,0,950
Hemitriccus nidipendulus,0,900
Hemitriccus margaritaceiventer,0,1800
Hemitriccus iohannis,0,600
Hemitriccus striaticollis,0,700
Ramphotrigon megacephalum,0,1400
Deltarhynchus flammulatus,0,1250
Ramphotrigon fuscicauda,0,900
Ramphotrigon ruficauda,0,600
Sirystes sibilator,0,1400
Rhytipterna immunda,0,500
Casiornis rufus,0,800
Casiornis fuscus,0,500
Rhytipterna simplex,0,1300
Myiarchus swainsoni,0,1700
Myiarchus barbirostris,0,2000
Myiarchus tuberculifer,0,3400
Myiarchus phaeocephalus,0,1500
Myiarchus panamensis,0,1400
Myiarchus ferox,0,950
Myiarchus validus,0,2000
Myiarchus yucatanensis,0,500
Myiarchus nuttingi,0,1800
Myiarchus crinitus,0,1400
Myiarchus antillarum,0,800
Myiarchus oberi,0,900
Myiarchus stolidus,0,1800
Myiarchus sagrae,0,1500
Myiarchus magnirostris,0,1500
Myiarchus nugator,0,900
Myiarchus tyrannulus,0,1700
Myiarchus cinerascens,0,2200
Myiarchus cephalotes,800,3000
Myiarchus apicalis,400,2300
Myiarchus venezuelensis,0,600
Myiarchus semirufus,0,500
Attila torridus,0,1200
Attila rufus,0,1400
Attila bolivianus,0,450
Attila citriniventris,0,500
Attila cinnamomeus,0,500
Attila phoenicurus,0,1700
Attila spadiceus,0,1800
Legatus leucophaius,0,1500
Machetornis rixosa,0,1000
Philohydor lictor,0,1300
Pitangus sulphuratus,0,1600
Myiozetetes luteiventris,0,500
Myiozetetes granadensis,0,1200
Myiozetetes similis,0,1500
Myiozetetes cayanensis,0,1500
Myiodynastes bairdii,0,1200
Myiodynastes chrysocephalus,800,2400
Myiodynastes hemichrysus,700,1850
Myiodynastes maculatus,0,1500
Myiodynastes luteiventris,0,1850
Megarynchus pitangua,0,1850
Tyrannopsis sulphurea,0,700
Conopias trivirgatus,0,950
Conopias cinchoneti,750,2150
Conopias parvus,0,1300
Conopias albovittatus,0,900
Empidonomus aurantioatrocristatus,0,1800
Empidonomus varius,0,1900
Tyrannus albogularis,0,950
Tyrannus melancholicus,0,1800
Tyrannus dominicensis,0,900
Tyrannus cubensis,0,1100
Tyrannus niveigularis,0,1200
Tyrannus couchii,0,800
Tyrannus crassirostris,0,1850
Tyrannus tyrannus,800,3700
Tyrannus vociferans,900,2200
Tyrannus verticalis,0,2300
Tyrannus forficatus,0,1500
Tyrannus caudifasciatus,0,2000
Tyrannus savana,0,1600
Muscigralla brevicauda,0,1500
Myiophobus fasciatus,0,2000
Myiophobus cryptoxanthus,900,1100
Ochthoeca frontalis,1600,4000
Ochthoeca diadema,1700,3100
Ochthoeca jelskii,1300,3400
Ochthoeca pulchella,1700,2800
Colorhamphus parvirostris,0,1000
Tumbezia salvini,0,900
Ochthoeca fumicolor,1800,4400
Ochthoeca oenanthoides,2000,4500
Ochthoeca piurae,1200,3300
Ochthoeca leucophrys,2000,3500
Ochthoeca rufipectoralis,2000,3600
Ochthoeca cinnamomeiventris,1600,3300
Myiophobus roraimae,900,1900
Myiophobus phoenicomitra,1100,1400
Myiophobus flavicans,1500,2700
Mitrephanes olivaceus,1300,2000
Mitrephanes phaeocercus,600,3600
Contopus cooperi,0,3400
Contopus ochraceus,2100,3000
Contopus pertinax,900,3400
Contopus lugubris,1200,2700
Contopus fumigatus,500,2600
Contopus albogularis,0,700
Contopus pallidus,0,1000
Contopus virens,0,4300
Contopus caribaeus,0,1000
Contopus hispaniolensis,0,1000
Contopus latirostris,0,900
Contopus cinereus,0,2200
Contopus sordidulus,900,3000
Sayornis nigricans,0,2800
Sayornis phoebe,0,2500
Sayornis saya,0,2500
Empidonax oberholseri,0,3000
Empidonax affinis,1800,4000
Empidonax hammondii,1000,3000
Empidonax atriceps,2100,3300
Empidonax fulvifrons,600,2500
Empidonax wrightii,0,2500
Empidonax minimus,0,1500
Empidonax flaviventris,0,500
Empidonax flavescens,900,2800
Empidonax difficilis,1500,3000
Empidonax occidentalis,1250,3400
Empidonax albigularis,900,2600
Empidonax alnorum,0,2500
Empidonax traillii,0,2500
Xenotriccus mexicanus,950,1850
Xenotriccus callizonus,1200,1850
Empidonax virescens,0,2850
Lathrotriccus griseipectus,0,1700
Lathrotriccus euleri,0,1350
Aphanotriccus audax,0,600
Aphanotriccus capitalis,0,1000
Cnemotriccus fuscatus,0,900
Ochthornis littoralis,0,600
Satrapa icterophrys,0,2000
Muscisaxicola fluviatilis,0,800
Muscisaxicola maculirostris,1000,3800
Muscisaxicola albifrons,4000,5600
Muscisaxicola flavinucha,500,4500
Muscisaxicola rufivertex,300,4500
Muscisaxicola cinereus,2500,5000
Muscisaxicola griseus,2700,4800
Muscisaxicola alpinus,800,4700
Muscisaxicola maclovianus,0,1200
Muscisaxicola albilora,1500,4000
Muscisaxicola juninensis,3200,5000
Muscisaxicola capistratus,0,4000
Hymenops perspicillatus,0,1250
Knipolegus cabanisi,800,2500
Knipolegus signatus,1900,2900
Knipolegus aterrimus,0,3200
Knipolegus cyanirostris,0,2100
Knipolegus lophotes,0,1250
Knipolegus nigerrimus,900,2200
Knipolegus franciscanus,0,500
Knipolegus poecilurus,900,2600
Knipolegus orenocensis,0,500
Knipolegus poecilocercus,0,500
Knipolegus striaticeps,0,1900
Knipolegus hudsoni,0,800
Cnemarchus erythropygius,2900,4100
Polioxolmis rufipennis,3000,4500
Xolmis pyrope,0,1800
Xolmis cinereus,0,1200
Neoxolmis rufiventris,0,1200
Xolmis rubetra,0,1000
Xolmis coronatus,0,1500
Agriornis albicauda,3000,4500
Agriornis micropterus,0,4000
Agriornis lividus,0,1800
Agriornis murinus,0,2000
Agriornis montanus,1800,4000
Myiotheretes striaticollis,1500,3600
Myiotheretes pernix,2100,2900
Myiotheretes fumigatus,1800,3600
Myiotheretes fuscorufus,2200,3500
Xolmis irupero,0,1200
Xolmis velatus,0,1000
Lessonia oreas,2800,4300
Lessonia rufa,0,2000
Suiriri affinis (islerorum),250,1200
Sublegatus arenarum,0,600
Sublegatus obscurior,0,450
Sublegatus modestus,0,2750
Phelpsia inornata,0,500
Colonia colonus,0,1800
Muscipipra vetula,0,2200
Alectrurus tricolor,0,1200
Alectrurus risora,0,1200
Heteroxolmis (Xolmis) dominicanus,0,1100
Gubernetes yetapa,0,1200
Pyrocephalus rubinus,0,2600
Fluvicola nengeta,0,800
Fluvicola pica,0,1000
Fluvicola albiventer,0,500
Arundinicola leucocephala,0,600
Phyllomyias griseocapilla,750,1850
Zimmerius chrysops,0,2700
Zimmerius albigularis,0,2500
Zimmerius viridiflavus,1000,2500
Zimmerius vilissimus,0,3000
Zimmerius bolivianus,1200,2850
Zimmerius gracilipes,0,1300
Zimmerius acer,0,1400
Zimmerius cinereicapilla,750,1350
Zimmerius chicomendezi,0,2500
Zimmerius villarejoi,0,2600
Euscarthmus meloryphus,0,2100
Euscarthmus rufomarginatus,0,1000
Inezia subflava,0,500
Inezia caudata,0,400
Inezia tenuirostris,0,600
Stigmatura budytoides,0,2300
Stigmatura napensis,0,300
Mecocerculus minor,1600,2650
Mecocerculus calopterus,800,1950
Mecocerculus poecilocercus,1600,2600
Mecocerculus hellmayri,1300,2400
Mecocerculus stictopterus,2600,3600
Phyllomyias plumbeiceps,1300,2200
Phyllomyias sclateri,400,2200
Phyllomyias urichi,800,1100
Phyllomyias reiseri,0,500
Phyllomyias virescens,0,1000
Phyllomyias cinereiceps,1150,2700
Phyllomyias nigrocapillus,2600,3400
Phyllomyias uropygialis,1500,3600
Phyllomyias burmeisteri,0,1800
Camptostoma imberbe,0,2100
Camptostoma obsoletum,0,1500
Ornithion inerme,0,950
Ornithion semiflavum,0,1250
Ornithion brunneicapillus,0,1200
Suiriri suiriri,0,1500
Pseudelaenia leucospodia,0,800
Capsiempis flaveola,0,1250
Phaeomyias murina,0,1750
Nesotriccus ridgwayi,0,500
Phyllomyias fasciatus,0,1900
Phyllomyias weedeni,700,1200
Phyllomyias griseiceps,0,1300
Mecocerculus leucophrys,1500,4400
Culicivora caudacuta,0,1400
Serpophaga nigricans,0,1000
Serpophaga cinerea,1100,3200
Pseudocolopteryx acutipennis,1500,2600
Pseudocolopteryx dinelliana,0,500
Pseudocolopteryx flaviventris,0,500
Pseudocolopteryx citreola,300,1300
Pseudocolopteryx sclateri,0,500
Anairetes flavirostris,1400,3700
Anairetes parulus,0,4000
Anairetes fernandezianus,0,1000
Anairetes alpinus,3900,4400
Anairetes reguloides,0,2900
Anairetes nigrocristatus,2350,4200
Uromyias agilis,1800,3400
Uromyias agraphia,2700,3600
Polystictus pectoralis,0,1300
Polystictus superciliaris,900,1400
Serpophaga griseicapilla,30,2280
Serpophaga hypoleuca,0,500
Serpophaga munda,0,2600
Serpophaga subcristata,0,1500
Elaenia cristata,0,1350
Elaenia ruficeps,0,1400
Elaenia strepera,1500,2400
Elaenia mesoleuca,0,2100
Elaenia martinica,0,700
Elaenia fallax,500,2000
Elaenia frantzii,900,3600
Elaenia albiceps,0,3300
Elaenia pallatangae,2200,3300
Elaenia parvirostris,0,1000
Elaenia chiriquensis,0,3000
Elaenia pelzelni,0,500
Elaenia spectabilis,0,1000
Elaenia ridleyana,0,500
Elaenia obscura,750,2800
Elaenia dayi,1500,2600
Elaenia flavogaster,0,1700
Elaenia gigas,0,1200
Tyrannulus elatus,0,1000
Myiopagis subplacens,0,1750
Myiopagis gaimardii,0,1000
Myiopagis flavivertex,0,500
Myiopagis viridicata,0,1700
Myiopagis caniceps,0,900
Myiopagis olallai,0,1500
Myiotriccus ornatus,750,1800
Nephelomyias pulcher,800,3050
Nephelomyias lintoni,2250,3200
Nephelomyias ochraceiventris,2200,3500
Pyrrhomyias cinnamomeus,600,3550
Hirundinea ferruginea,0,1800
Calyptura cristata,0,900
Neopipo cinnamomea,0,700
Platyrinchus coronatus,0,900
Platyrinchus mystaceus,0,1800
Platyrinchus saturatus,0,900
Platyrinchus cancrominus,0,1500
Platyrinchus platyrhynchos,0,900
Platyrinchus flavigularis,1250,2300
Platyrinchus leucoryphus,0,900
Rupicola rupicola,0,1500
Rupicola peruvianus,500,2400
Phoenicircus carnifex,0,700
Phoenicircus nigricollis,0,500
Carpornis cucullata,400,1600
Carpornis melanocephala,0,700
Snowornis cryptolophus,570,2300
Snowornis subalaris,800,1350
Haematoderus militaris,0,500
Querula purpurata,0,1050
Pyroderus scutatus,650,2700
Cephalopterus ornatus,0,1300
Cephalopterus penduliger,700,1800
Cephalopterus glabricollis,800,2000
Perissocephalus tricolor,0,1400
Porphyrolaema porphyrolaema,0,500
Xipholena punicea,0,500
Xipholena atropurpurea,0,700
Xipholena lamellipennis,0,500
Carpodectes antoniae,0,800
Carpodectes nitidus,0,750
Carpodectes hopkei,0,900
Gymnoderus foetidus,0,700
Conioptilon mcilhennyi,0,500
Cotinga cayana,0,800
Cotinga amabilis,0,1700
Cotinga nattererii,0,1250
Cotinga maculata,0,500
Cotinga cotinga,0,600
Cotinga maynana,0,500
Lipaugus unirufus,0,1000
Lipaugus lanioides,0,900
Tijuca atra,1100,2100
Lipaugus weberi,1400,1925
Lipaugus uropygialis,1800,2600
Lipaugus fuscocinereus,1700,3000
Tijuca condita,1400,2000
Lipaugus vociferans,0,800
Lipaugus streptophorus,1000,1800
Procnias tricarunculatus,0,2300
Procnias albus,0,1250
Procnias nudicollis,0,1150
Procnias averano,0,1900
Zaratornis stresemanni,2700,4400
Phibalura flavirostris,0,2000
Phytotoma rara,0,2700
Phytotoma rutila,0,3100
Phytotoma raimondii,0,500
Ampelion rubrocristatus,2800,4050
Ampelion rufaxilla,2200,2750
Doliornis sclateri,2500,3350
Doliornis remseni,3100,3650
Ampelioides tschudii,900,2300
Pipreola formosa,800,2200
Pipreola chlorolepidota,800,1700
Pipreola frontalis,1100,2000
Pipreola riefferii,1200,3050
Pipreola intermedia,2000,3300
Pipreola arcuata,1800,3350
Pipreola aureopectus,800,2300
Pipreola lubomirskii,1600,2300
Pipreola jucunda,900,2300
Pipreola pulchra,1500,2250
Pipreola whitelyi,1300,2250
Melanopareia maranonica,400,800
Melanopareia maximiliani,0,2150
Melanopareia torquata,0,1400
Pittasoma rufopileatum,0,1100
Pittasoma michleri,0,1050
Conopophaga melanogaster,0,500
Conopophaga roberti,0,500
Conopophaga lineata,0,2150
Conopophaga ardesiaca,1000,1650
Conopophaga castaneiceps,1100,2100
Conopophaga peruviana,0,850
Conopophaga aurita,0,500
Pygiptila stellaris,0,700
Thamnistes anabatinus,0,1700
Myrmornis torquata,0,1200
Euchrepomis sharpei,1100,1650
Euchrepomis callinotus,750,2000
Euchrepomis spodioptila,0,1100
Euchrepomis humeralis,0,650
Myrmorchilus strigilatus,0,1200
Microrhopias quixensis,0,1100
Aprositornis disjuncta,0,500
Ammonastes pelzelni,0,350
Myrmophylax atrothorax,0,1600
Epinecrophylla fulviventris,0,1100
Epinecrophylla ornata,0,1200
Epinecrophylla gutturalis,0,1000
Epinecrophylla spodionota,600,1300
Epinecrophylla dentei,0,400
Epinecrophylla amazonica,0,500
Epinecrophylla fjeldsaai,0,1300
Epinecrophylla haematonota,0,900
Epinecrophylla pyrrhonota,0,1300
Epinecrophylla leucophthalma,0,800
Clytoctantes alixii,0,1000
Clytoctantes atrogularis,0,500
Neoctantes niger,0,800
Poliocrania exsul,0,1200
Sipia berlepschi,0,600
Sipia palliata,0,1100
Sipia nigricauda,400,1100
Sipia laemosticta,0,1000
Ampelornis griseiceps,600,3000
Hypocnemoides melanopogon,0,500
Hylophylax punctulatus,0,500
Hylophylax naevioides,0,900
Hylophylax naevius,0,1150
Myrmoderus ferruginea,0,500
Myrmoderus ruficauda,0,600
Myrmoderus squamosa,0,1000
Myrmeciza longipes,0,1700
Rhopornis ardesiacus,0,900
Myrmoborus melanurus,0,500
Myrmoborus lophotes,0,1050
Myrmoborus lugubris,0,500
Myrmoborus leucophrys,0,1400
Myrmoborus myotherinus,0,1200
Pyriglena atra,0,500
Pyriglena leucoptera,0,1250
Hafferia immaculata,0,2000
Hafferia zeledoni,100,1700
Hafferia fortis,0,1050
Percnostola arenarum,0,150
Percnostola rufifrons,0,500
Akletos melanoceps,0,600
Akletos goeldii,0,750
Gymnocichla nudiceps,0,500
Sclateria naevia,0,500
Myrmelastes hyperythra,0,500
Myrmelastes rufifacies,0,800
Myrmelastes brunneiceps,0,1400
Myrmelastes leucostigma,0,1650
Myrmelastes humaythae,0,500
Myrmelastes saturata,700,1500
Myrmelastes caurensis,0,1500
Myrmelastes schistacea,0,500
Phaenostictus mcleannani,0,1200
Pithys albifrons,0,1100
Pithys castaneus,200,250
Willisornis vidua,0,800
Willisornis poecilinotus,0,1350
Gymnopithys rufigula,0,900
Gymnopithys bicolor,0,1700
Gymnopithys leucaspis,0,900
Rhegmatorhina cristata,0,500
Rhegmatorhina melanosticta,0,1050
Rhegmatorhina gymnops,0,500
Rhegmatorhina berlepschi,0,500
Rhegmatorhina hoffmannsi,0,500
Oneillornis lunulatus,0,950
Oneillornis salvini,0,450
Phlegopsis erythroptera,0,500
Phlegopsis nigromaculata,0,700
Phlegopsis borbae,0,500
Cercomacra manu,0,1100
Cercomacra brasiliana,600,1000
Cercomacra ferdinandi,0,500
Cercomacra carbonaria,0,500
Cercomacra nigricans,0,1500
Cercomacra melanaria,0,500
Cercomacra cinerascens,0,1100
Sciaphylax castanea,0,1350
Sciaphylax hemimelaena,0,1350
Drymophila squamata,0,600
Hypocnemis hypoxantha,0,500
Hypocnemis subflava,0,1100
Hypocnemis flavescens,0,1100
Hypocnemis peruviana,0,1100
Hypocnemis rondoni,0,1100
Hypocnemis ochrogyna,0,500
Drymophila ochropyga,650,1300
Drymophila genei,1150,2200
Drymophila malura,0,950
Drymophila ferruginea,0,1250
Drymophila rubricollis,0,2000
Drymophila klagesi,500,1800
Drymophila hellmayri,500,1500
Drymophila caudata,1200,2500
Drymophila striaticeps,750,3150
Drymophila devillei,0,1050
Cercomacroides nigrescens,0,1800
Cercomacroides laeta,0,900
Cercomacra serva,0,1100
Cercomacroides tyrannina,0,1800
Cercomacroides parkeri,1130,2000
Isleria hauxwelli,0,500
Isleria guttata,0,700
Xenopsaris albinucha,0,600
Thamnomanes saturninus,0,500
Thamnomanes ardesiacus,0,900
Thamnomanes schistogynus,0,1050
Thamnomanes caesius,0,850
Cymbilaimus sanctaemariae,0,1100
Cymbilaimus lineatus,0,1000
Batara cinerea,0,2600
Hypoedaleus guttatus,0,900
Mackenziaena leachii,0,2150
Mackenziaena severa,0,1250
Frederickena viridis,0,700
Frederickena unduliger,0,1050
Frederickena fulva,0,1100
Taraba major,0,1400
Sakesphorus canadensis,0,900
Thamnophilus schistaceus,0,1100
Thamnophilus murinus,0,1000
Thamnophilus zarumae,800,2650
Thamnophilus palliatus,0,1700
Thamnophilus tenuepunctatus,300,1700
Thamnophilus multistriatus,900,2200
Thamnophilus ruficapillus,0,2200
Thamnophilus torquatus,0,1200
Thamnophilus doliatus,0,2000
Thamnophilus nigriceps,0,600
Thamnophilus praecox,0,500
Thamnophilus melanonotus,0,550
Thamnophilus cryptoleucus,0,500
Thamnophilus nigrocinereus,0,500
Thamnophilus ambiguus,0,700
Thamnophilus sticturus,0,950
Thamnophilus pelzelni,0,1100
Thamnophilus punctatus,0,1500
Thamnophilus stictocephalus,0,700
Thamnophilus aroyae,800,1700
Thamnophilus aethiops,0,950
Thamnophilus unicolor,1200,2300
Thamnophilus caerulescens,0,2300
Thamnophilus bridgesi,0,1150
Thamnophilus atrinucha,0,1500
Thamnophilus bernardi,0,1850
Thamnophilus amazonicus,0,500
Thamnophilus insignis,900,2000
Thamnophilus divisorius,0,500
Thamnophilus melanothorax,0,1300
Sakesphoroides cristatus,0,1100
Dysithamnus striaticeps,0,800
Dysithamnus puncticeps,0,1000
Herpsilochmus pectoralis,0,500
Herpsilochmus rufimarginatus,0,1200
Herpsilochmus roraimae,700,2000
Herpsilochmus stictocephalus,0,500
Herpsilochmus dorsimaculatus,0,500
Herpsilochmus gentryi,0,200
Herpsilochmus pileatus,0,800
Herpsilochmus atricapillus,0,1200
Herpsilochmus parkeri,1350,1350
Herpsilochmus motacilloides,900,2050
Herpsilochmus praedictus,0,500
Herpsilochmus stotzi,0,500
Herpsilochmus longirostris,0,1200
Herpsilochmus dugandi,0,500
Herpsilochmus sticturus,0,500
Herpsilochmus axillaris,900,1800
Dysithamnus plumbeus,0,500
Dysithamnus leucostictus,900,1900
Dysithamnus mentalis,600,2200
Dysithamnus xanthopterus,800,1700
Dysithamnus stictothorax,0,1200
Dysithamnus occidentalis,900,2100
Biatas nigropectus,500,1200
Herpsilochmus sellowi,0,1100
Rhopias gularis,0,1550
Dichrozona cincta,0,800
Megastictus margaritatus,0,500
Terenura maculata,0,1200
Myrmochanes hemileucus,0,500
Myrmotherula cherriei,0,550
Myrmotherula multostriata,0,550
Myrmotherula surinamensis,0,700
Myrmotherula pacifica,0,1300
Myrmotherula sclateri,0,700
Myrmotherula ambigua,0,500
Myrmotherula brachyura,0,900
Myrmotherula ignota,0,1100
Myrmotherula longicauda,600,1200
Myrmotherula klagesi,0,500
Myrmotherula assimilis,0,500
Myrmotherula menetriesii,0,900
Myrmotherula behni,900,1800
Myrmotherula grisea,500,1650
Myrmotherula unicolor,0,350
Myrmotherula snowi,0,550
Myrmotherula minor,0,900
Myrmotherula schisticolor,900,2200
Myrmotherula sunensis,0,900
Myrmotherula axillaris,0,1100
Myrmotherula urosticta,0,500
Myrmotherula longipennis,0,700
Myrmotherula iheringi,0,650
